id,CASEHDRDATA_APPSIGNDATEdiff,CASEHDRDATA_DATEISSUEDdiff,CASEHDRDATA_DATERECEIVEDdiff,CASEHDRDATA_EAPPDATARECEIVEDdiff,CASEHDRDATA_RATELOCKEFFECTIVEDATEdiff,CASEHDRDATA_TIMESTAMPdiff,FINANCIALGOALSDATA_TIMESTAMPdiff,issueDatediff,policyAge,policyValue,policyWithdrawals,receivedDatediff,shortId,class,siu.predictedDisposition,siu.score,siu.uc2e,siu.uc7e,siu.uc8e,surrenderCharges,modelType_Anniversary,modelType_Calendar Year End,modelType_Cost Basis Adjustment,modelType_Death Claim,modelType_Death Claim - 10YD,modelType_Death Claim - 5YD,modelType_Death Claim Disbursement,modelType_Free Look Cancel,modelType_Full Surrender,modelType_Partial Surrender,modelType_Pending Death Claim,modelType_Premium,modelType_Renewal Transaction,modelType_Spousal Continuation,modelType_Systematic Withdrawal,productType_RSL - Apollo,productType_RSL - Apollo 93 BV,productType_RSL - Apollo 93 MVA,productType_RSL - Argus MVA,productType_RSL - Deferral,productType_RSL - Elektra 5 6 7,productType_RSL - Eleos,productType_RSL - Eleos 96 MVA,productType_RSL - Keystone,productType_RSL - Reliance Guarantee,ownerType_Organization,ownerType_Person,template_NON-FINANCIAL,template_financial-transaction,template_non-financial-transaction,no_employees
1e6076ed-ad56-429b-b541-3217b7db9919,-41975,-41975,-41975,-41975,-41975,-41975,-41975,-41975,65.0,0.0,41387.8,-41975,2697429,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
20029385-1c07-439f-bb7d-46aa1799e188,-43008,-43008,-43008,-43008,-43008,-43008,-43008,-43008,60.0,230865.61,25651.73,-43008,2266784,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
2072f4cb-512d-4429-8145-283a726709a4,-43709,-43709,-43709,-43709,-43709,-43709,-43709,-43709,70.0,89457.71,9939.75,-43709,2584878,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
20f1bab0-1267-440e-b661-2d5dc584db77,-42885,-42885,-42885,-42885,-42885,-42885,-42885,-42885,85.0,217680.59,0.0,-42885,2463107,inconsistent,1,0.5,1.0,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
20f22998-e0a4-4294-ae01-317abac17039,-42997,-42997,-42997,-42997,-42997,-42997,-42997,-42997,80.0,0.0,0.0,-42997,2532415,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
24a57e4d-192d-42b5-ae2a-cd9876dfe482,-40923,-40923,-40923,-40923,-40923,-40923,-40923,-40923,59.0,108162.68,0.0,-40923,2280993,consistent,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
24d5bcc8-e72e-4bec-a448-2c83770c7771,-43617,-43617,-43617,-43617,-43617,-43617,-43617,-43617,63.0,116728.36,0.0,-43617,2582439,consistent,1,0.1666666666666666,0.5,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
25f52a90-54ae-4658-a431-b383ebff8671,-43782,-43782,-43782,-43782,-43782,-43782,-43782,-43782,68.0,70696.15,7855.13,-43782,2549268,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
2717f8c7-9950-44a1-9dab-2357b28c4f49,-43568,-43568,-43568,-43568,-43568,-43568,-43568,-43568,67.0,265931.63,29547.96,-43568,2480909,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
278262e0-3ede-4582-b8bd-a0243fdc50f5,-43417,-43417,-43417,-43417,-43417,-43417,-43417,-43417,65.0,126446.22,13974.74,-43417,2478148,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
27a9ceaf-5f65-4f27-a65b-9cf40144cbc1,-43449,-43449,-43449,-43449,-43449,-43449,-43449,-43449,77.0,87807.35,0.0,-43449,2524388,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
27c833d3-f3e3-4c16-9b00-3035f2f8f971,-44156,-44156,-44156,-44156,-44156,-44156,-44156,-44156,63.0,9049.66,1000.0,-44156,2415989,inconsistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
27eba4ee-60f5-4ebf-bf22-eb96c123cf58,-43751,-43751,-43751,-43751,-43751,-43751,-43751,-43751,77.0,0.0,3075.15,-43751,2203914,consistent,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
2837b923-dcb7-4509-a9f1-64f8bd17e663,-43886,-43886,-43886,-43886,-43886,-43886,-43886,-43886,62.0,66449.07,0.0,-43886,2476487,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
2876b53c-e980-47ed-86f1-f393f4b448c6,-43358,-43358,-43358,-43358,-43358,-43358,-43358,-43358,82.0,0.0,0.0,-43358,2431672,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
29590da2-0eda-4480-9b5b-7094a60b4b27,-42991,-42991,-42991,-42991,-42991,-42991,-42991,-42991,65.0,283066.53,13600.0,-42991,2501374,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2
2c879585-3fb4-4e95-af89-1f03e5a7ea9e,-43492,-43492,-43492,-43492,-43492,-43492,-43492,-43492,74.0,288550.64,0.0,-43492,2586099,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
2cf21d58-5c23-4bd7-a116-85dd8163be01,-43403,-43403,-43403,-43403,-43403,-43403,-43403,-43403,74.0,62091.55,31318.66,-43403,2670349,consistent,1,0.5,1.0,0.5,0.0,1318.66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
